gamma1,gamma2,alpha,nu
-1.0,0.0,-11.123843553378048,321.93682700605933
-1.0,0.08163265306122448,-15.99600883175135,333.28159935117213
-1.0,0.16326530612244897,-92.37259721069753,323.28577741296033
-1.0,0.24489795918367346,-85.14976388604268,296.50617461593947
-1.0,0.32653061224489793,-53.86992112506897,337.56570377517437
-1.0,0.4081632653061224,-5.176488076842958,329.3219023302226
-1.0,0.4897959183673469,-56.697912076501524,336.02815038982294
-1.0,0.5714285714285714,-61.193687196219294,336.09143258753704
-1.0,0.6530612244897959,-83.9986908629637,291.3523150440991
-1.0,0.7346938775510203,-71.52684664210557,340.9220909360628
-1.0,0.8163265306122448,-90.94154813455779,340.90442686227385
-1.0,0.8979591836734693,-19.62910952310221,327.4525416871995
-1.0,0.9795918367346939,-11.472175773919485,99.70940970272572
-1.0,1.0612244897959182,-8.226139262995567,57.22747067625546
-1.0,1.1428571428571428,-6.698588021598725,40.62680680745277
-1.0,1.2244897959183672,-5.761778495287483,31.787699031454334
-1.0,1.3061224489795917,-5.110837706573917,26.3042446898884
-1.0,1.3877551020408163,-4.624110885772165,22.57454343761766
-1.0,1.4693877551020407,-4.242162769246838,19.876217713863753
-1.0,1.5510204081632653,-3.9320184281614403,17.83562872508389
-1.0,1.6326530612244896,-3.6736975183550937,16.240084174779835
-1.0,1.7142857142857142,-3.4542802637033003,14.959598316136098
-1.0,1.7959183673469385,-3.264983507294169,13.910250247533941
-1.0,1.8775510204081631,-3.099593743580178,13.035437851285277
-1.0,1.9591836734693877,-2.953570361613644,12.295597971787824
-1.0,2.0408163265306123,-2.8235045606739972,11.662244157860265
-1.0,2.1224489795918364,-2.706778321851352,11.114344681641716
-1.0,2.204081632653061,-2.601341456025933,10.636034835635177
-1.0,2.2857142857142856,-2.5055612253690493,10.215123202809592
-1.0,2.36734693877551,-2.4181181449895,9.842087910136845
-1.0,2.4489795918367343,-2.337932063565286,9.509385043505022
-1.0,2.530612244897959,-2.2641086243993813,9.210961514269842
-1.0,2.6122448979591835,-2.1958997676732004,8.94190511723211
-1.0,2.693877551020408,-2.1326741035213663,8.698188754828639
-1.0,2.7755102040816326,-2.073894358660299,8.476480475511575
-1.0,2.8571428571428568,-2.0190999734342854,8.274000397640599
-1.0,2.9387755102040813,-1.9678935077287862,8.088411540463477
-1.0,3.020408163265306,-1.9199299049142236,7.917735520827293
-1.0,3.1020408163265305,-1.8749079185355204,7.760286809218426
-1.0,3.1836734693877546,-1.8325632125775042,7.614620849292777
-1.0,3.265306122448979,-1.792662749681502,7.479492836386164
-1.0,3.346938775510204,-1.755000195730563,7.353824638313058
-1.0,3.4285714285714284,-1.7193921274167783,7.236678054587453
-1.0,3.510204081632653,-1.685674880803093,7.127233042641858
-1.0,3.591836734693877,-1.653701915865778,7.0247698676732115
-1.0,3.6734693877551017,-1.623341599328692,6.9286543769756355
-1.0,3.7551020408163263,-1.594475329220676,6.8383257792401135
-1.0,3.836734693877551,-1.5669959399921418,6.753286447764236
-1.0,3.9183673469387754,-1.5408063398645284,6.6730933671020844
-1.0,4.0,-1.5158183411985344,6.597350923647318
-0.9489795918367347,0.0,-79.60664433669211,323.63183942069566
-0.9489795918367347,0.08163265306122448,-73.47066843058684,297.53996682001423
-0.9489795918367347,0.16326530612244897,-28.878345563060662,337.4126291263092
-0.9489795918367347,0.24489795918367346,-22.780670733771565,339.06967355591996
-0.9489795918367347,0.32653061224489793,-10.45421978053147,340.177748512042
-0.9489795918367347,0.4081632653061224,-81.6321916955747,334.87127634657026
-0.9489795918367347,0.4897959183673469,-3.797913899245365,343.00573342950685
-0.9489795918367347,0.5714285714285714,-72.51263870506394,310.54437366227216
-0.9489795918367347,0.6530612244897959,-19.02928075523808,340.79754250461485
-0.9489795918367347,0.7346938775510203,-5.8136059152136115,339.9488556628444
-0.9489795918367347,0.8163265306122448,-7.42050408034674,341.9690258831256
-0.9489795918367347,0.8979591836734693,-7.160814396428079,121.17489833305216
-0.9489795918367347,0.9795918367346939,-6.018316847427319,62.14674104333847
-0.9489795918367347,1.0612244897959182,-5.262926687958082,42.39048550965582
-0.9489795918367347,1.1428571428571428,-4.714931317970974,32.50869589748531
-0.9489795918367347,1.2244897959183672,-4.293563497847812,26.585585271985902
-0.9489795918367347,1.3061224489795917,-3.956378036561682,22.64411460426576
-0.9489795918367347,1.3877551020408163,-3.678621104814274,19.835704126233242
-0.9489795918367347,1.4693877551020407,-3.4447351348036483,17.735630390571995
-0.9489795918367347,1.5510204081632653,-3.2443734770421853,16.1077563793801
-0.9489795918367347,1.6326530612244896,-3.070342974102608,14.810314711421917
-0.9489795918367347,1.7142857142857142,-2.9174607421850056,13.753045695816397
-0.9489795918367347,1.7959183673469385,-2.7818806804027743,12.875752402411214
-0.9489795918367347,1.8775510204081631,-2.6606773224390086,12.13674729205246
-0.9489795918367347,1.9591836734693877,-2.5515782786089507,11.506247313179019
-0.9489795918367347,2.0408163265306123,-2.4527863282718902,10.962409350198492
-0.9489795918367347,2.1224489795918364,-2.3628576546655746,10.488851422833882
-0.9489795918367347,2.204081632653061,-2.2806163843202296,10.07304813984266
-0.9489795918367347,2.2857142857142856,-2.2050932674502493,9.705260577465134
-0.9489795918367347,2.36734693877551,-2.1354808099303977,9.37780378864774
-0.9489795918367347,2.4489795918367343,-2.071099863964058,9.084533827185327
-0.9489795918367347,2.530612244897959,-2.011374356368121,8.820481173937656
-0.9489795918367347,2.6122448979591835,-1.9558118990284021,8.58158400297057
-0.9489795918367347,2.693877551020408,-1.903988718976264,8.364490935096553
-0.9489795918367347,2.7755102040816326,-1.855537807240695,8.166413029278461
-0.9489795918367347,2.8571428571428568,-1.8101394984399002,7.985011239456923
-0.9489795918367347,2.9387755102040813,-1.767513906939844,7.8183098182914605
-0.9489795918367347,3.020408163265306,-1.7274148025362208,7.664628901713623
-0.9489795918367347,3.1020408163265305,-1.6896246038609712,7.522531564994015
-0.9489795918367347,3.1836734693877546,-1.6539502598095024,7.390781789886739
-0.9489795918367347,3.265306122448979,-1.6202198340884229,7.268310842982048
-0.9489795918367347,3.346938775510204,-1.5882796551224723,7.154190157074163
-0.9489795918367347,3.4285714285714284,-1.5579919230727126,7.0476092972250415
-0.9489795918367347,3.510204081632653,-1.5292326891964272,6.947857935183404
-0.9489795918367347,3.591836734693877,-1.5018901406519858,6.854311007911896
-0.9489795918367347,3.6734693877551017,-1.47586313727956,6.766416425090105
-0.9489795918367347,3.7551020408163263,-1.451059957876056,6.683684829107466
-0.9489795918367347,3.836734693877551,-1.4273972199621505,6.6056810259442
-0.9489795918367347,3.9183673469387754,-1.404798948756799,6.532016763070457
-0.9489795918367347,4.0,-1.383195766697979,6.46234463634545
-0.8979591836734694,0.0,-70.49989147974878,336.995528204913
-0.8979591836734694,0.08163265306122448,-190.31371290542566,321.0728160507569
-0.8979591836734694,0.16326530612244897,-149.09961465942757,335.53372334124174
-0.8979591836734694,0.24489795918367346,-61.5206958022859,304.5620687377869
-0.8979591836734694,0.32653061224489793,-143.984234231644,334.6008120570712
-0.8979591836734694,0.4081632653061224,-119.03160428319612,337.854446282413
-0.8979591836734694,0.4897959183673469,-3.5775975367020183,340.8091569715564
-0.8979591836734694,0.5714285714285714,-3.9809566496321147,341.6813067087882
-0.8979591836734694,0.6530612244897959,-4.757639245093606,333.3479929718372
-0.8979591836734694,0.7346938775510203,-5.783450760305336,336.7606923052595
-0.8979591836734694,0.8163265306122448,-5.581423989969229,161.9510365431383
-0.8979591836734694,0.8979591836734693,-4.922239087696731,69.22600904424687
-0.8979591836734694,0.9795918367346939,-4.432184971746915,44.76823368741793
-0.8979591836734694,1.0612244897959182,-4.049104388000986,33.48630930290437
-0.8979591836734694,1.1428571428571428,-3.7389217439671834,27.001005038036798
-0.8979591836734694,1.2244897959183672,-3.4811591737297065,22.795187839480676
-0.8979591836734694,1.3061224489795917,-3.262652612746713,19.85053438214838
-0.8979591836734694,1.3877551020408163,-3.0744904564691424,17.67649283445179
-0.8979591836734694,1.4693877551020407,-2.9103871969455812,16.00758091292865
-0.8979591836734694,1.5510204081632653,-2.7657590927951503,14.687584681606841
-0.8979591836734694,1.6326530612244896,-2.6371695875413224,13.618586223509988
-0.8979591836734694,1.7142857142857142,-2.5219814113542935,12.736091544618777
-0.8979591836734694,1.7959183673469385,-2.41813003185324,11.995892502931367
-0.8979591836734694,1.8775510204081631,-2.3239713545777687,11.36667490090902
-0.8979591836734694,1.9591836734693877,-2.238176482730018,10.82563972343667
-0.8979591836734694,2.0408163265306123,-2.159657224878293,10.355795588439463
-0.8979591836734694,2.1224489795918364,-2.0875122348653887,9.944222670146722
-0.8979591836734694,2.204081632653061,-2.0209873255544393,9.580924291565186
-0.8979591836734694,2.2857142857142856,-1.9594457277238149,9.25804636928782
-0.8979591836734694,2.36734693877551,-1.902345453914906,8.96933441438569
-0.8979591836734694,2.4489795918367343,-1.8492218355682755,8.709747439404588
-0.8979591836734694,2.530612244897959,-1.7996738765449523,8.475178546614087
